<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AYN1,D,240225,000000,100,101.24,100,101.24,72
RU000A10AYN1,D,250225,000000,101.24,101.25,100.25,100.5,159067
RU000A10AYN1,D,260225,000000,101,101,100.2,100.5,23770
RU000A10AYN1,D,270225,000000,101.19,101.2,99.5,100.39,40828
RU000A10AYN1,D,280225,000000,101.12,101.15,100.25,101.1,220780
RU000A10AYN1,D,030325,000000,101.1,101.1,100.2,100.74,113366
RU000A10AYN1,D,040325,000000,102.7,102.7,100.6,101.19,10552
RU000A10AYN1,D,050325,000000,101.19,101.19,100.9,101,5406
RU000A10AYN1,D,060325,000000,101.14,101.15,100.6,101,19525
RU000A10AYN1,D,070325,000000,100.9,102.2,100.22,102.2,2372
RU000A10AYN1,D,100325,000000,101.51,102.16,100.85,101.98,1565
RU000A10AYN1,D,110325,000000,101.98,102.15,100.52,101.23,894
RU000A10AYN1,D,120325,000000,101.03,102.1,101.03,102,2037
RU000A10AYN1,D,130325,000000,102,102,101.5,101.98,1710
RU000A10AYN1,D,140325,000000,102,102.15,102,102.12,1015
RU000A10AYN1,D,170325,000000,101.77,102.16,101.01,101.99,3203
RU000A10AYN1,D,180325,000000,102.3,102.3,101.2,101.99,451
RU000A10AYN1,D,190325,000000,101.2,102,101.2,101.56,2761
RU000A10AYN1,D,200325,000000,102.15,102.15,101.73,102.1,1485
RU000A10AYN1,D,210325,000000,102.16,102.16,101.7,101.7,310
RU000A10AYN1,D,240325,000000,102.15,104.04,101.02,102,1133
RU000A10AYN1,D,250325,000000,103.1,103.27,102,103.04,2552
RU000A10AYN1,D,260325,000000,103.2,103.2,101.7,102.16,1213
RU000A10AYN1,D,270325,000000,102.16,103.82,101.5,102.46,763
RU000A10AYN1,D,280325,000000,102.44,103.24,101.55,102,6278
RU000A10AYN1,D,310325,000000,101.55,102.25,101.55,102.14,176
RU000A10AYN1,D,010425,000000,101.7,102.9,101.11,102.25,1001
RU000A10AYN1,D,020425,000000,103.16,103.17,101.39,101.83,5324
RU000A10AYN1,D,030425,000000,101.83,102.19,101.5,102.03,986
RU000A10AYN1,D,040425,000000,101.35,102.15,101.35,101.48,4804
RU000A10AYN1,D,070425,000000,101.2,103.24,101.12,101.9,1277
RU000A10AYN1,D,080425,000000,102.79,102.79,101.49,101.97,6399
RU000A10AYN1,D,090425,000000,102.99,103,100.99,101.83,4990
RU000A10AYN1,D,100425,000000,101.2,102.25,100.99,101.84,11848
RU000A10AYN1,D,110425,000000,102.17,102.17,101.44,101.96,115
RU000A10AYN1,D,140425,000000,102.74,102.75,101.21,102.41,592
RU000A10AYN1,D,150425,000000,102.99,102.99,101.3,101.88,485
RU000A10AYN1,D,160425,000000,101.36,102.49,101.12,102.26,115
RU000A10AYN1,D,170425,000000,102.3,102.3,101.16,102.14,802
