Название,ISIN,Рейтинг,Качество Эмитента,Объем,Дата Выпуска,Дата Погашения / Оферты,Купон,Частота Выплат,Дюрация
ВИС Ф БП08,RU000A10B2T8,BBB,3.1,1500,14.03.2025,04.03.2027,21.53,12,1.34
ИнтЛиз1Р11,RU000A10B4A4,BB,3.3,4500,20.03.2025,27.02.2029,21.75,12,1.65
МОНОП 1P04,RU000A10B396,BB-,2.6,820,17.03.2025,08.09.2026,24.93,12,0.97
Кокс01Р2,RU000A10B0R6,BBB,3.5,1000,06.03.2025,28.08.2026,24.09,12,0.95
Аэрфью2Р04,RU000A10B3S8,BB,3.2,1600,21.03.2025,19.03.2027,22.86,4,1.38
ИКС5Ф3P11,RU000A10AT35,AA,6.8,15000,24.03.2025,14.03.2027,16.33,12,1.44
АйДиКол1P1,RU000A10B2P6,B,6.5,1300,14.03.2025,27.02.2028,23.7,12,1.92
Роделен2P3,RU000A10B2F7,BB-,4,1000,13.03.2025,15.02.2030,23.25,12,2.16
ТелХолБ2-9,RU000A10B0Z9,BB,3.2,3500,07.03.2025,29.08.2026,22.37,12,0.96
О'КЕЙ Б1Р7,RU000A10B2J9,BB,3.1,3000,13.03.2025,06.06.2026,23.31,12,0.78
РостелP15R,RU000A10B214,AA,8.1,15000,12.03.2025,02.03.2027,17.35,12,1.38
АФБАНК1Р14,RU000A10B0U0,A,6.7,5000,06.03.2025,24.02.2027,20.64,12,1.33
ДелПорт1P4,RU000A10B487,A,8,15000,20.03.2025,11.09.2026,19.44,12,1.01
БДеньг-2P8,RU000A10B2M3,B,6.5,250,13.03.2025,08.03.2026,27.82,12,0.59
ЭффТех1P2,RU000A10B354,B,5.4,360,17.03.2025,13.03.2028,26.73,4,1.91
ДЕВАР 1Р1,RU000A10B4L1,B,8.2,150,21.03.2025,05.03.2028,27.52,12,1.86
БИАНКА-02,RU000A10B5A1,B,5.9,180,25.03.2025,09.03.2028,26.26,12,1.89
СИБАВТО1Р5,RU000A10B750,B,3.2,120,28.03.2025,02.03.2030,25.65,12,2.67
Патриот1Р1,RU000A10B2D2,B+,4.6,300,13.03.2025,26.02.2028,24.94,12,1.89
ВОКСИС-02,RU000A10B222,BB-,6.6,200,12.03.2025,19.02.2029,24.19,12,2.16
МСБЛиз3P04,RU000A10B735,B+,3.2,200,27.03.2025,18.09.2026,25.5,12,2.13
ВсИнстр1Р6,RU000A10B3Y6,BB,4,500,18.03.2025,09.09.2026,21.98,12,0.99
ТЕХНЛГ 02,RU000A10B6K8,B,7.7,200,27.03.2025,11.03.2028,26,12,1.9
ЭконЛиз1Р8,RU000A10B081,B+,3.6,100,05.03.2025,18.02.2028,24.98,12,1.87
ММЗ001P-02,RU000A10B255,B,5,90,12.03.2025,19.02.2029,24.71,12,1.61
Селигдар3Р,RU000A10B933,BBB,3.8,9500,08.04.2025,25.09.2027,23.25,12,1.72
ЕвроТранс7,RU000A10BB75,BB,5.9,4300,10.04.2025,31.03.2027,24.5,12,1.38
Атомэнпр05,RU000A10BFG2,AA,5.9,40000,17.04.2025,11.04.2030,17.3,4,3.38
СамолетP16,RU000A10BFX7,BBB,3.8,3000,22.04.2025,06.04.2028,25.5,12,2.03
МТС 2P-10,RU000A10BGY3,AA,3,15000,25.04.2025,19.07.2026,19.25,12,3.15
ГЛОРАКС1Р4,RU000A10B9Q9,BB-,1.7,2200,09.04.2025,24.03.2028,25.5,12,1.97
ПолиплП2Б4,RU000A10BFJ6,BB,4.3,2250,18.04.2025,08.04.2027,25.5,12,1.4
МВ ФИН 1Р6,RU000A10BFP3,BB,2.3,2000,21.04.2025,11.04.2027,26,12,1.4
ЭталонФин3,RU000A10BAP4,BB,2.7,6750,11.04.2025,01.04.2027,25.5,12,1.38
ТЕХЛиз 1P7,RU000A10BBG1,B+,3.1,700,11.04.2025,16.03.2030,27,12,1.67
